p_name,p_type,p_org,cf_id
Chris Witty,Investor Relations,DLH Holdings Corp. ,4393459
,,,
Zach Parker,President and Chief Executive Officer,DLH Holdings Corp. ,4393459
,,,
Kathryn JohnBull,Chief Financial Officer,DLH Holdings Corp. ,4393459
,,,
Joe Gomes,guest participant,NOBLE Capital,4393459
,,,
Ripple Zhang,IR Manager,"JinkoSolar Holding Co., Ltd. ",4393388
,,,
Kangping Chen,CEO,"JinkoSolar Holding Co., Ltd. ",4393388
,,,
Charlie Cao,CFO,"JinkoSolar Holding Co., Ltd. ",4393388
,,,
Gener Miao,CMO,"JinkoSolar Holding Co., Ltd. ",4393388
,,,
Philip Shen,guest participant,Roth Capital Partners,4393388
,,,
Gary Zhou,guest participant,Credit Suisse,4393388
,,,
Tony Fei,guest participant,BOCI,4393388
,,,
Brian Lee,guest participant,Goldman Sachs,4393388
,,,
William Graben,guest participant,UBS,4393388
,,,
Tip Fleming,"Investor Relations, Christensen Inc.","LightInTheBox Holding Co., Ltd. ",4393377
,,,
Jian He,Chief Executive Officer,"LightInTheBox Holding Co., Ltd. ",4393377
,,,
Yuanjun Ye,Chief Finance Officer,"LightInTheBox Holding Co., Ltd. ",4393377
,,,
Wenyu Liu,Chief Growth Officer,"LightInTheBox Holding Co., Ltd. ",4393377
,,,
David Calusdian,"Investor Relations, Sharon Merrill Associates","AstroNova, Inc. ",4393364
,,,
Greg Woods,President and Chief Executive Officer,"AstroNova, Inc. ",4393364
,,,
David Smith,Chief Financial Officer,"AstroNova, Inc. ",4393364
,,,
Dick Ryan,guest participant,Colliers,4393364
,,,
Jin Hui,President,Huazhu Group Limited ,4393332
,,,
Teo Nee Chuan,CFO,Huazhu Group Limited ,4393332
,,,
Ji Qi,CEO,Huazhu Group Limited ,4393332
,,,
Liu Xinxin,President,Huazhu Group Limited ,4393332
,,,
Justin Kwok,guest participant,Goldman Sachs,4393332
,,,
Billy Ng,guest participant,Bank of America,4393332
,,,
Lina Yan,guest participant,HSBC,4393332
,,,
Renata Couto,Head of Investor Relations,Afya Limited ,4393144
,,,
Virgilio Gibbon,Chief Executive Officer,Afya Limited ,4393144
,,,
Luis Andre Blanco,Chief Financial Officer,Afya Limited ,4393144
,,,
Julio de Angeli,Vice President of Innovation and Continuing Medical Education,Afya Limited ,4393144
,,,
Marcelo Santos,guest participant,JP Morgan,4393144
,,,
Susana Salaru,guest participant,Itau,4393144
,,,
Fred Mendes,guest participant,Bradesco,4393144
,,,
Mauricio Cepeda,guest participant,Credit Suisse,4393144
,,,
Irma Sgarz,guest participant,Goldman Sachs,4393144
,,,
Dru Anderson,IR,"Culp, Inc. ",4393139
,,,
Iv Culp,CEO,"Culp, Inc. ",4393139
,,,
Ken Bowling,CFO,"Culp, Inc. ",4393139
,,,
Boyd Chumbley,"President, Upholstery Fabrics Business","Culp, Inc. ",4393139
,,,
Bobby Griffin,guest participant,Raymond James,4393139
,,,
Marco Rodriguez,guest participant,Stonegate Capital Markets,4393139
,,,
Bruce Thorn,President and Chief Executive Officer,"Big Lots, Inc. ",4393052
,,,
